year,make,model,body_style(s),image_source(s)
2019,BMW,M5,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2019/2019-BMW-M5-FrontSide_BMM51901_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2019,BMW,M6,['Coupe'],{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12663/2019-BMW-M6-360SpinFrame_12663_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2019,BMW,X1,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/13532/2019-BMW-X1-360SpinFrame_13532_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2019,BMW,X2,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12703/2019-BMW-X2-360SpinFrame_12703_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2019,BMW,X3,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2019/2019-BMW-X3-FrontSide_BMX31901_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2019,BMW,X4,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12920/2019-BMW-X4-360SpinFrame_12920_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2019,BMW,X5,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2019/2019-BMW-X5-FrontSide_BTX51901_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2019,BMW,X6,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2019/2019-BMW-X6-FrontSide_BTX61901_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2019,BMW,X6 M,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/11940/2019-BMW-X6%20M-360SpinFrame_11940_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2019,BMW,X7,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/13733/2019-BMW-X7-360SpinFrame_13733_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2019,Buick,Cascada,['Convertible'],{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12743/2019-Buick-Cascada-360SpinFrame_12743_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2019,Buick,Enclave,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12964/2019-Buick-Enclave-360SpinFrame_12964_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2019,Buick,Encore,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12941/2019-Buick-Encore-360SpinFrame_12941_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2019,Buick,Envision,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2019/2019-Buick-Envision-FrontSide_BSENV1901_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2019,Buick,LaCrosse,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12311/2019-Buick-LaCrosse-360SpinFrame_12311_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2019,Buick,Regal Sportback,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12612/2019-Buick-Regal%20Sportback-360SpinFrame_12612_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2019,Buick,Regal TourX,['Wagon'],{'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2019/2019-Buick-Regal%20TourX-FrontSide_BUREGTX1901_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2019,Cadillac,ATS,['Coupe'],{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2019/2019-Cadillac-ATS-FrontSide_CAATS1901_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2019,Cadillac,CT6,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/13365/2019-Cadillac-CT6-360SpinFrame_13365_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2019,Cadillac,CT6-V,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2019/2019-Cadillac-CT6-V-FrontSide_CACT6V1901_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2019,Cadillac,CTS,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/13008/2019-Cadillac-CTS-360SpinFrame_13008_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2019,Cadillac,CTS-V,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/13291/2019-Cadillac-CTS-V-360SpinFrame_13291_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2019,Cadillac,Escalade,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12966/2019-Cadillac-Escalade-360SpinFrame_12966_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2019,Cadillac,Escalade ESV,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/13006/2019-Cadillac-Escalade%20ESV-360SpinFrame_13006_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2019,Cadillac,XT4,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2019/2019-Cadillac-XT4-FrontSide_CAXT41901_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2019,Cadillac,XT5,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12915/2019-Cadillac-XT5-360SpinFrame_12915_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2019,Cadillac,XTS,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12939/2019-Cadillac-XTS-360SpinFrame_12939_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2019,Chevrolet,Blazer,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2019/2019-Chevrolet-Blazer-FrontSide_CHBLZ1901_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2019,Chevrolet,Bolt EV,['Hatchback'],{'Hatchback': 'https://file.kelleybluebookimages.com/kbb/base/house/2019/2019-Chevrolet-Bolt%20EV-FrontSide_CHBEV1901_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2019,Chevrolet,Camaro,"['Coupe', 'Convertible']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2019/2019-Chevrolet-Camaro-FrontSide_CHCAMR1901_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2019/2019-Chevrolet-Camaro-FrontSide_CHCAM1901_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2019,Chevrolet,Colorado Crew Cab,['Pickup'],{'Pickup': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12970/2019-Chevrolet-Colorado%20Crew%20Cab-360SpinFrame_12970_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2019,Chevrolet,Colorado Extended Cab,['Pickup'],{'Pickup': 'https://file.kelleybluebookimages.com/kbb/base/house/2019/2019-Chevrolet-Colorado%20Extended%20Cab-FrontSide_CTCOLE1901_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2019,Chevrolet,Corvette,"['Coupe', 'Convertible']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2019/2019-Chevrolet-Corvette-FrontSide_CHCORSRCONV1901_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/11958/2019-Chevrolet-Corvette-360SpinFrame_11958_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}"
