year,make,model,body_style(s),trim(s),image_source(s)
2006,BMW,M3,"['Convertible', 'Coupe']","{'Convertible': {'Convertible 2D': {'Horsepower': '333 @ 7900 rpm HP', 'Engine': '6-Cyl, 3.2 Liter', 'Combined Fuel Economy': '16 MPG', 'Seating': 'Seats 4'}}, 'Coupe': {'Coupe 2D': {'Horsepower': '333 @ 7900 rpm HP', 'Engine': '6-Cyl, 3.2 Liter', 'Combined Fuel Economy': '17 MPG', 'Seating': 'Seats 5'}}}","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2006/2006-BMW-M3-FrontSide_BMM3CNV061_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2006/2006-BMW-M3-FrontSide_BMM3CPE061_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2006,BMW,M5,['Sedan'],"{'Sedan': {'Sedan 4D': {'Horsepower': '500 @ 7750 rpm HP', 'Engine': 'V10, 5.0 Liter', 'Combined Fuel Economy': '13 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2006/2006-BMW-M5-FrontSide_BMM5061_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2006,BMW,M6,['Coupe'],"{'Coupe': {'Coupe 2D': {'Horsepower': '500 @ 7750 rpm HP', 'Engine': 'V10, 5.0 Liter', 'Combined Fuel Economy': '13 MPG', 'Seating': 'Seats 5'}}}",{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2006/2006-BMW-M6-FrontSide_BMM6CPE061_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2006,BMW,X3,['SUV'],"{'SUV': {'3.0i Sport Utility 4D': {'Horsepower': '225 @ 5900 rpm HP', 'Engine': '6-Cyl, 3.0 Liter', 'Combined Fuel Economy': '16 MPG', 'Seating': 'Seats 5'}}}",{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2006/2006-BMW-X3-FrontSide_BTX3061_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2006,BMW,X5,['SUV'],"{'SUV': {'4.4i Sport Utility 4D': {'Horsepower': '315 @ 5400 rpm HP', 'Engine': 'V8, 4.4 Liter', 'Combined Fuel Economy': '16 MPG', 'Seating': 'Seats 5'}, '4.8is Sport Utility 4D': {'Horsepower': '355 @ 6200 rpm HP', 'Engine': 'V8, 4.8 Liter', 'Combined Fuel Economy': '16 MPG', 'Seating': 'Seats 5'}, '3.0i Sport Utility 4D': {'Horsepower': '225 @ 5900 rpm HP', 'Engine': '6-Cyl, 3.0 Liter', 'Combined Fuel Economy': '15 MPG', 'Seating': 'Seats 5'}}}",{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2006/2006-BMW-X5-FrontSide_BTX530061_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2006,BMW,Z4,"['Convertible', 'Coupe']","{'Convertible': {'3.0i Roadster 2D': {'Horsepower': '215 @ 6250 rpm HP', 'Engine': '6-Cyl, 3.0 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 2'}, '3.0si Roadster 2D': {'Horsepower': '255 @ 6600 rpm HP', 'Engine': '6-Cyl, HO, 3.0 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 2'}}, 'Coupe': {'3.0si Coupe 2D': {'Horsepower': '255 @ 6600 rpm HP', 'Engine': '6-Cyl, HO, 3.0 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 2'}}}","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2006/2006-BMW-Z4-FrontSide_BMZ4061_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2006/2006-BMW-Z4-FrontSide_BMZ4CPE061_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2006,BMW,Z4 M,"['Convertible', 'Coupe']","{'Convertible': {'Roadster 2D': {'Horsepower': '330 @ 7900 rpm HP', 'Engine': '6-Cyl, 3.2 Liter', 'Combined Fuel Economy': '17 MPG', 'Seating': 'Seats 2'}}, 'Coupe': {'Coupe 2D': {'Horsepower': '330 @ 7900 rpm HP', 'Engine': '6-Cyl, 3.2 Liter', 'Combined Fuel Economy': '17 MPG', 'Seating': 'Seats 2'}}}","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2006/2006-BMW-Z4%20M-FrontSide_BMM061_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2006/2006-BMW-Z4%20M-FrontSide_BMMCPE061_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2006,Buick,LaCrosse,['Sedan'],"{'Sedan': {'CXL Sedan 4D': {'Horsepower': '200 @ 5200 rpm HP', 'Engine': 'V6, 3.8 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 6'}, 'CXS Sedan 4D': {'Horsepower': '240 @ 6000 rpm HP', 'Engine': 'V6, 3.6 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 5'}, 'CX Sedan 4D': {'Horsepower': '200 @ 5200 rpm HP', 'Engine': 'V6, 3.8 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 6'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2006/2006-Buick-LaCrosse-FrontSide_BULC061_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2006,Buick,Lucerne,['Sedan'],"{'Sedan': {'CXL Sedan 4D': {'Horsepower': '197 @ 5200 rpm HP', 'Engine': 'V6, 3.8 Liter', 'Combined Fuel Economy': '18 MPG', 'Seating': 'Seats 6'}, 'CXS Sedan 4D': {'Horsepower': '275 @ 6000 rpm HP', 'Engine': 'V8, 4.6 Liter', 'Combined Fuel Economy': '18 MPG', 'Seating': 'Seats 5'}, 'CX Sedan 4D': {'Horsepower': '197 @ 5200 rpm HP', 'Engine': 'V6, 3.8 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 6'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2006/2006-Buick-Lucerne-FrontSide_BULU061_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2006,Buick,Rainier,['SUV'],"{'SUV': {'CXL Sport Utility 4D': {'Horsepower': '291 @ 6000 rpm HP', 'Engine': '6-Cyl, 4.2 Liter', 'Combined Fuel Economy': '16 MPG', 'Seating': 'Seats 5'}}}",{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2006/2006-Buick-Rainier-FrontSide_BSRAI061_505x375.jpg?interpolation=high-quality&downsize=391:*'}
